loc_id,name,latitude,longitude
loc_20833,Aulnay-sous-Bois,48.9212120,2.4959830
loc_57582,Auray,47.6662775,-2.9824794
loc_17034,Aurillac,44.9287990,2.4438540
loc_6323,Aurora,39.7294440,-104.8313890
loc_80130,Aurora,36.9708910,-93.7179790
loc_381,Austin,30.2669440,-97.7427780
loc_7533,Austin,43.6666670,-92.9744440
loc_32168,Autlán,19.7840310,-104.3666990
loc_28257,Auvers-sur-Oise,49.0711950,2.1771650
loc_27143,Auxerre,47.7982900,3.5744040
loc_94541,Avallon,47.4882200,3.9077220
loc_2568,Aveiro,40.6500010,-8.6599990
loc_12670,Avellaneda,-36.9726980,-60.2523380
loc_42767,Avesta,60.1454450,16.1678400
loc_1537,Avignon,43.9486130,4.8059670
loc_3961,Avilés,43.5558690,-5.9276340
loc_24339,Avià,42.0775340,1.8253030
loc_1710,Avranches,48.6837610,-1.3551020
loc_21425,Ayacucho,-13.1725300,-74.2210460
loc_2329,Aylesbury,51.8166667,-0.8000000
loc_23276,Aylmer,45.3949600,-75.8448800
loc_57525,Aytos,42.7030193,27.2546865
loc_72654,Azcapotzalco,19.4827440,-99.1837280
loc_124453,Añasco,18.3161110,-67.1397220
loc_129381,Aşkale,39.9211110,40.6947220
loc_138566,Baabda,33.8333330,35.5333330
loc_15657,Baar,47.1979470,8.5386140
loc_76516,Bab El Oued,36.7643330,3.0242730
loc_94476,Bab Ezzouar,36.7166670,3.1833330
loc_25737,Babenhausen,48.1444370,10.2576630
loc_873,Babylon,40.6955560,-73.3261110
loc_21246,Bacabal,-4.2352190,-44.7893910
loc_41210,Backnang,48.9454710,9.4301420
loc_75401,Bacău,46.5712890,26.9251710
loc_116995,Bad Neuenahr-Ahrweiler,50.5418150,7.1197177
loc_52371,Bad Oeynhausen,52.2078448,8.8040292
loc_29966,Bad Salzungen,50.8118860,10.2322930
loc_26493,Bad Tölz,47.7617030,11.5645660
loc_87660,Bad Wildungen,51.1196693,9.1244683
loc_2848,Badajoz,38.6959490,-5.9925970
loc_48933,Baden bei Wien,48.0061310,16.2323770
loc_4721,Baden-Baden,48.7598000,8.2397930
loc_3915,Badin,35.4058330,-80.1169440
loc_80291,Bafoussam,5.4856580,10.4129900
loc_542,Baghdad,33.3300010,44.4399980
loc_32935,Bagnara Calabra,38.2884880,15.8081820
loc_20430,Bagnols-sur-Cèze,44.1548790,4.6164200
loc_28647,Bagnères-de-Bigorre,43.0651350,0.1501210
loc_128355,Bagnères-de-Luchon,42.7908330,0.5938890
loc_102448,Baidoa,3.1166667,43.6500000
loc_123581,Bailly,49.4964000,2.9706000
loc_3824,Bainbridge Island,47.6430560,-122.5408330
loc_84357,Bakau,13.4784800,-16.6755200
loc_90,Bakersfield,35.3733330,-119.0177780
loc_132942,Bakhmut,48.5913890,38.0805560
loc_3424,Baku,40.3899990,49.8600000
loc_67032,Baku,40.4166568,49.8236992
loc_56879,Balashov,51.5374489,43.1528701
loc_1805,Baldwin,40.6563890,-73.6097220
loc_2174,Balham,51.4500000,-0.1333333
loc_62746,Ballaghadereen,53.9000850,-8.5814437
loc_3504,Ballarat,-37.5612110,143.8442990
loc_98698,Ballenstedt,51.7203214,11.2383073
loc_134066,Ballyhaise,54.0500000,-7.3166670
loc_969,Ballyshannon,54.5099980,-8.2100000
loc_87,Baltimore,39.2902780,-76.6125000
loc_61531,Bamako,12.6529500,-7.9864820
loc_113752,Bamban,15.2740800,120.5663990
loc_20744,Bamberg,49.8942180,10.8855270
loc_138754,Banban,-15.5180950,167.2311460
loc_137,Banbury,52.0500000,-1.3333333
loc_41253,Bandjoun,5.3500000,10.4000000
loc_85015,Bandundu,-3.3152340,17.3855990
loc_5624,Bandung,-6.9124300,107.6069030
loc_31446,Banes,20.9666670,-75.7166670
loc_6066,Bangalore,12.9747500,77.5877300
loc_6868,Bangkok,13.7307800,100.5210040
loc_695,Bangkok,13.7299990,100.5000000
loc_2057,Bangor,54.6500000,-5.7000000
loc_24881,Banja Luka,44.7665600,17.1904750
loc_22727,Banjul,13.4495490,-16.5884650
loc_130098,Banyuls-sur-Mer,42.4601955,3.1014855
loc_34840,Baojhong,23.7151950,120.3109300
loc_146618,Baranavičy,53.1348672,26.0159771
loc_49869,Barbacoas,9.4833330,-66.9666670
loc_43028,Barberton,41.0121440,-81.6064830
loc_64,Barcelona,41.3879170,2.1699190
loc_125862,Bardos,43.4754080,-1.2033280
loc_4518,Bari,41.0250860,16.6348300
loc_142695,Barking and Dagenham,51.5500000,0.1166670
loc_22506,Barletta,41.3192770,16.2839900
loc_42583,Barnaul,53.3563380,83.7616500
loc_1876,Barnet,51.6500000,-0.2000000
loc_1957,Barnsley,53.5500000,-1.4833333
loc_378,Barnwell,33.2447220,-81.3588890
